n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
100,"[12, 0, 100, 861, 859, 113, 1, 189, 170, 1, 100, 691, 627, 50, 0, 63, 61, 2, 100, 630, 556, 40, 0, 47, 40, 3, 100, 590, 513, 37, 0, 27, 25, 4, 100, 565, 486, 35, 0, 17, 14, 5, 100, 551, 471, 34, 0, 6, 5, 6, 100, 546, 466, 34, 0, 3, 3, 7, 100, 543, 463, 34, 0, 2, 2, 8, 100, 541, 461, 34, 0, 2, 2, 9, 100, 539, 459, 34, 0, 2, 2, 10, 100, 537, 457, 34, 0, 2, 2, 11, 100, 535, 455, 34, 0, 1, 1, 12, 100, 534, 454, 34, 0, 0, 0]"
200,"[17, 0, 200, 2322, 2095, 178, 1, 520, 481, 1, 200, 1841, 1529, 93, 1, 214, 202, 2, 200, 1639, 1311, 76, 0, 137, 125, 3, 200, 1514, 1178, 68, 0, 84, 80, 4, 200, 1434, 1083, 53, 0, 62, 59, 5, 200, 1375, 1018, 47, 0, 40, 36, 6, 200, 1339, 977, 42, 0, 27, 26, 7, 200, 1313, 949, 40, 0, 25, 22, 8, 200, 1291, 925, 38, 0, 19, 18, 9, 200, 1273, 907, 38, 0, 21, 18, 10, 200, 1255, 888, 37, 0, 18, 18, 11, 200, 1237, 868, 35, 0, 17, 15, 12, 200, 1222, 852, 34, 0, 13, 12, 13, 200, 1210, 840, 34, 0, 11, 9, 14, 200, 1201, 828, 31, 0, 5, 5, 15, 200, 1196, 822, 30, 0, 4, 4, 16, 200, 1192, 818, 30, 0, 1, 1, 17, 200, 1191, 816, 29, 0, 0, 0]"
300,"[16, 0, 300, 4361, 4064, 281, 4, 881, 813, 1, 300, 3548, 3136, 162, 0, 332, 313, 2, 300, 3235, 2797, 136, 0, 178, 175, 3, 300, 3060, 2604, 118, 0, 130, 125, 4, 300, 2935, 2465, 104, 0, 88, 84, 5, 300, 2851, 2374, 97, 0, 61, 57, 6, 300, 2794, 2316, 96, 0, 48, 45, 7, 300, 2749, 2269, 94, 0, 34, 33, 8, 300, 2716, 2234, 92, 0, 29, 28, 9, 300, 2688, 2199, 85, 0, 16, 16, 10, 300, 2672, 2181, 83, 0, 15, 15, 11, 300, 2657, 2163, 80, 0, 14, 13, 12, 300, 2644, 2150, 80, 0, 11, 11, 13, 300, 2633, 2139, 80, 0, 10, 10, 14, 300, 2623, 2128, 79, 0, 7, 7, 15, 300, 2616, 2119, 77, 0, 2, 2, 16, 300, 2614, 2117, 77, 0, 0, 0]"
400,"[18, 0, 400, 6721, 6333, 403, 0, 1317, 1221, 1, 400, 5500, 4923, 214, 0, 510, 485, 2, 400, 5015, 4391, 167, 0, 274, 261, 3, 400, 4754, 4104, 141, 0, 174, 170, 4, 400, 4584, 3921, 128, 0, 104, 99, 5, 400, 4485, 3817, 123, 0, 86, 81, 6, 400, 4404, 3733, 120, 0, 51, 51, 7, 400, 4353, 3680, 118, 0, 36, 36, 8, 400, 4317, 3643, 117, 0, 23, 23, 9, 400, 4294, 3616, 113, 0, 16, 16, 10, 400, 4278, 3600, 113, 0, 12, 11, 11, 400, 4267, 3589, 113, 0, 8, 8, 12, 400, 4259, 3581, 113, 0, 5, 5, 13, 400, 4254, 3576, 113, 0, 3, 3, 14, 400, 4251, 3573, 113, 0, 2, 2, 15, 400, 4249, 3571, 113, 0, 3, 3, 16, 400, 4246, 3568, 113, 0, 2, 2, 17, 400, 4244, 3566, 113, 0, 1, 1, 18, 400, 4243, 3564, 112, 0, 0, 0]"
500,"[17, 0, 500, 9448, 8936, 515, 3, 1781, 1669, 1, 500, 7779, 7057, 303, 1, 667, 628, 2, 500, 7151, 6384, 258, 1, 383, 373, 3, 500, 6778, 5978, 225, 1, 231, 227, 4, 500, 6551, 5732, 206, 1, 176, 170, 5, 500, 6381, 5550, 193, 0, 114, 108, 6, 500, 6273, 5437, 188, 0, 79, 75, 7, 500, 6198, 5356, 182, 0, 54, 53, 8, 500, 6145, 5300, 179, 0, 36, 36, 9, 500, 6109, 5260, 175, 0, 22, 22, 10, 500, 6087, 5234, 171, 0, 17, 16, 11, 500, 6071, 5218, 171, 0, 8, 8, 12, 500, 6063, 5210, 171, 0, 9, 9, 13, 500, 6054, 5200, 170, 0, 5, 5, 14, 500, 6049, 5195, 170, 0, 4, 4, 15, 500, 6045, 5190, 169, 0, 3, 3, 16, 500, 6042, 5187, 169, 0, 1, 1, 17, 500, 6041, 5186, 169, 0, 0, 0]"
600,"[16, 0, 600, 12417, 11733, 589, 2, 2329, 2176, 1, 600, 10241, 9313, 343, 0, 889, 852, 2, 600, 9389, 8385, 267, 0, 430, 413, 3, 600, 8976, 7947, 242, 0, 259, 254, 4, 600, 8722, 7675, 224, 0, 181, 176, 5, 600, 8546, 7497, 222, 0, 122, 121, 6, 600, 8425, 7369, 215, 0, 93, 91, 7, 600, 8334, 7269, 206, 0, 77, 75, 8, 600, 8259, 7189, 201, 0, 61, 60, 9, 600, 8199, 7125, 197, 0, 35, 35, 10, 600, 8164, 7088, 195, 0, 25, 25, 11, 600, 8139, 7062, 194, 0, 15, 15, 12, 600, 8124, 7047, 194, 0, 10, 10, 13, 600, 8114, 7037, 194, 0, 4, 4, 14, 600, 8110, 7033, 194, 0, 2, 2, 15, 600, 8108, 7031, 194, 0, 1, 1, 16, 600, 8107, 7030, 194, 0, 0, 0]"
700,"[19, 0, 700, 15898, 15906, 777, 1, 2651, 2502, 1, 700, 13396, 13136, 508, 0, 903, 878, 2, 700, 12518, 12178, 428, 0, 419, 408, 3, 700, 12110, 11745, 403, 0, 209, 207, 4, 700, 11903, 11525, 390, 0, 113, 110, 5, 700, 11793, 11407, 382, 0, 59, 59, 6, 700, 11734, 11348, 382, 0, 33, 32, 7, 700, 11702, 11314, 380, 0, 21, 21, 8, 700, 11681, 11291, 378, 0, 17, 17, 9, 700, 11664, 11274, 378, 0, 10, 10, 10, 700, 11654, 11264, 378, 0, 3, 3, 11, 700, 11651, 11261, 378, 0, 2, 2, 12, 700, 11649, 11259, 378, 0, 2, 2, 13, 700, 11647, 11257, 378, 0, 2, 2, 14, 700, 11645, 11255, 378, 0, 2, 2, 15, 700, 11643, 11253, 378, 0, 2, 2, 16, 700, 11641, 11251, 378, 0, 2, 2, 17, 700, 11639, 11249, 378, 0, 1, 1, 18, 700, 11638, 11248, 378, 0, 1, 1, 19, 700, 11637, 11247, 378, 0, 0, 0]"
800,"[24, 0, 800, 19204, 18305, 787, 0, 3487, 3256, 1, 800, 15948, 14760, 498, 0, 1229, 1176, 2, 800, 14772, 13486, 400, 0, 580, 569, 3, 800, 14203, 12876, 359, 0, 319, 316, 4, 800, 13887, 12533, 332, 0, 188, 185, 5, 800, 13702, 12339, 323, 0, 129, 128, 6, 800, 13574, 12208, 320, 0, 89, 88, 7, 800, 13486, 12111, 311, 0, 55, 55, 8, 800, 13431, 12050, 305, 0, 35, 35, 9, 800, 13396, 12014, 304, 0, 31, 30, 10, 800, 13366, 11984, 304, 0, 30, 29, 11, 800, 13337, 11952, 301, 0, 14, 14, 12, 800, 13323, 11938, 301, 0, 12, 12, 13, 800, 13311, 11924, 299, 0, 7, 7, 14, 800, 13304, 11915, 297, 0, 1, 1, 15, 800, 13303, 11914, 297, 0, 2, 2, 16, 800, 13301, 11912, 297, 0, 3, 3, 17, 800, 13298, 11908, 296, 0, 2, 2, 18, 800, 13296, 11906, 296, 0, 2, 2, 19, 800, 13294, 11904, 296, 0, 2, 2, 20, 800, 13292, 11902, 296, 0, 3, 3, 21, 800, 13289, 11899, 296, 0, 2, 2, 22, 800, 13287, 11897, 296, 0, 1, 1, 23, 800, 13286, 11896, 296, 0, 1, 1, 24, 800, 13285, 11895, 296, 0, 0, 0]"
900,"[26, 0, 900, 22937, 21712, 821, 2, 4129, 3880, 1, 900, 19057, 17526, 515, 2, 1528, 1479, 2, 900, 17578, 15951, 418, 1, 770, 754, 3, 900, 16824, 15153, 374, 1, 428, 419, 4, 900, 16405, 14703, 343, 1, 276, 276, 5, 900, 16129, 14414, 330, 1, 174, 174, 6, 900, 15955, 14233, 323, 1, 128, 127, 7, 900, 15828, 14097, 313, 0, 71, 71, 8, 900, 15757, 14025, 312, 0, 51, 50, 9, 900, 15707, 13974, 311, 0, 46, 46, 10, 900, 15661, 13926, 309, 0, 27, 27, 11, 900, 15634, 13898, 308, 0, 17, 17, 12, 900, 15617, 13881, 308, 0, 8, 8, 13, 900, 15609, 13873, 308, 0, 8, 8, 14, 900, 15601, 13865, 308, 0, 6, 6, 15, 900, 15595, 13859, 308, 0, 2, 2, 16, 900, 15593, 13857, 308, 0, 3, 3, 17, 900, 15590, 13854, 308, 0, 1, 1, 18, 900, 15589, 13853, 308, 0, 2, 2, 19, 900, 15587, 13851, 308, 0, 3, 3, 20, 900, 15584, 13848, 308, 0, 3, 3, 21, 900, 15581, 13845, 308, 0, 3, 3, 22, 900, 15578, 13842, 308, 0, 4, 4, 23, 900, 15574, 13838, 308, 0, 3, 3, 24, 900, 15571, 13835, 308, 0, 1, 1, 25, 900, 15570, 13834, 308, 0, 1, 1, 26, 900, 15569, 13833, 308, 0, 0, 0]"
1000,"[16, 0, 1000, 27022, 26336, 995, 4, 4494, 4238, 1, 1000, 22784, 21735, 631, 3, 1576, 1530, 2, 1000, 21254, 20105, 529, 1, 761, 753, 3, 1000, 20501, 19310, 487, 1, 433, 423, 4, 1000, 20078, 18859, 459, 1, 255, 250, 5, 1000, 19828, 18599, 449, 1, 146, 146, 6, 1000, 19682, 18438, 434, 1, 83, 82, 7, 1000, 19600, 18354, 432, 1, 48, 48, 8, 1000, 19552, 18305, 431, 1, 30, 30, 9, 1000, 19522, 18273, 429, 1, 17, 17, 10, 1000, 19505, 18255, 428, 1, 7, 7, 11, 1000, 19498, 18248, 428, 1, 3, 3, 12, 1000, 19495, 18245, 428, 1, 3, 3, 13, 1000, 19492, 18242, 428, 1, 2, 2, 14, 1000, 19490, 18240, 428, 1, 2, 2, 15, 1000, 19488, 18238, 428, 1, 1, 1, 16, 1000, 19487, 18237, 428, 1, 0, 0]"
