n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
100,"[9, 0, 100, 850, 824, 83, 0, 162, 147, 1, 100, 703, 638, 44, 0, 75, 67, 2, 100, 636, 555, 28, 0, 40, 40, 3, 100, 596, 512, 25, 0, 26, 25, 4, 100, 571, 481, 19, 0, 13, 13, 5, 100, 558, 466, 17, 0, 8, 8, 6, 100, 550, 457, 16, 0, 6, 6, 7, 100, 544, 451, 16, 0, 6, 5, 8, 100, 539, 444, 14, 0, 4, 3, 9, 100, 536, 441, 14, 0, 0, 0]"
200,"[17, 0, 200, 2357, 2139, 187, 2, 545, 505, 1, 200, 1852, 1536, 87, 0, 225, 208, 2, 200, 1644, 1304, 63, 0, 146, 136, 3, 200, 1508, 1159, 54, 0, 107, 101, 4, 200, 1407, 1045, 41, 0, 72, 69, 5, 200, 1338, 970, 35, 0, 46, 42, 6, 200, 1296, 926, 33, 0, 24, 22, 7, 200, 1274, 902, 31, 0, 15, 14, 8, 200, 1260, 885, 28, 0, 7, 7, 9, 200, 1253, 878, 28, 0, 7, 7, 10, 200, 1246, 871, 28, 0, 6, 6, 11, 200, 1240, 865, 28, 0, 7, 7, 12, 200, 1233, 856, 26, 0, 3, 3, 13, 200, 1230, 853, 26, 0, 2, 2, 14, 200, 1228, 851, 26, 0, 3, 3, 15, 200, 1225, 848, 26, 0, 1, 1, 16, 200, 1224, 847, 26, 0, 1, 1, 17, 200, 1223, 846, 26, 0, 0, 0]"
300,"[15, 0, 300, 4375, 4147, 266, 0, 853, 789, 1, 300, 3586, 3235, 143, 0, 316, 301, 2, 300, 3285, 2897, 106, 0, 163, 158, 3, 300, 3127, 2732, 99, 0, 112, 110, 4, 300, 3017, 2616, 93, 0, 71, 67, 5, 300, 2950, 2545, 89, 0, 46, 45, 6, 300, 2905, 2496, 85, 0, 27, 26, 7, 300, 2879, 2464, 79, 0, 15, 15, 8, 300, 2864, 2448, 78, 0, 12, 12, 9, 300, 2852, 2436, 78, 0, 9, 8, 10, 300, 2844, 2428, 78, 0, 7, 7, 11, 300, 2837, 2421, 78, 0, 5, 5, 12, 300, 2832, 2416, 78, 0, 7, 7, 13, 300, 2825, 2409, 78, 0, 4, 4, 14, 300, 2821, 2405, 78, 0, 1, 1, 15, 300, 2820, 2404, 78, 0, 0, 0]"
400,"[37, 0, 400, 6624, 6132, 362, 0, 1292, 1213, 1, 400, 5411, 4740, 183, 0, 500, 477, 2, 400, 4934, 4225, 145, 0, 261, 254, 3, 400, 4680, 3953, 127, 0, 175, 173, 4, 400, 4507, 3771, 118, 0, 140, 135, 5, 400, 4372, 3629, 111, 0, 93, 91, 6, 400, 4281, 3532, 105, 0, 69, 69, 7, 400, 4212, 3455, 97, 0, 56, 55, 8, 400, 4157, 3397, 94, 0, 46, 44, 9, 400, 4113, 3351, 92, 0, 27, 27, 10, 400, 4086, 3324, 92, 0, 27, 27, 11, 400, 4059, 3295, 90, 0, 23, 23, 12, 400, 4036, 3271, 89, 0, 21, 21, 13, 400, 4015, 3250, 89, 0, 21, 20, 14, 400, 3995, 3228, 87, 0, 17, 16, 15, 400, 3979, 3212, 87, 0, 11, 10, 16, 400, 3969, 3201, 86, 0, 5, 5, 17, 400, 3964, 3196, 86, 0, 4, 4, 18, 400, 3960, 3192, 86, 0, 5, 5, 19, 400, 3955, 3187, 86, 0, 5, 5, 20, 400, 3950, 3182, 86, 0, 2, 2, 21, 400, 3948, 3180, 86, 0, 2, 2, 22, 400, 3946, 3178, 86, 0, 3, 3, 23, 400, 3943, 3174, 85, 0, 2, 2, 24, 400, 3941, 3172, 85, 0, 4, 4, 25, 400, 3937, 3168, 85, 0, 4, 4, 26, 400, 3933, 3164, 85, 0, 6, 6, 27, 400, 3927, 3158, 85, 0, 8, 8, 28, 400, 3919, 3150, 85, 0, 8, 7, 29, 400, 3912, 3142, 84, 0, 5, 5, 30, 400, 3907, 3137, 84, 0, 3, 3, 31, 400, 3904, 3134, 84, 0, 3, 3, 32, 400, 3901, 3130, 83, 0, 2, 2, 33, 400, 3899, 3128, 83, 0, 2, 2, 34, 400, 3897, 3126, 83, 0, 1, 1, 35, 400, 3896, 3125, 83, 0, 1, 1, 36, 400, 3895, 3124, 83, 0, 2, 2, 37, 400, 3893, 3121, 82, 0, 0, 0]"
500,"[18, 0, 500, 9397, 8796, 454, 3, 1799, 1678, 1, 500, 7719, 6936, 269, 0, 701, 675, 2, 500, 7044, 6203, 211, 0, 402, 391, 3, 500, 6653, 5786, 185, 0, 254, 248, 4, 500, 6405, 5526, 173, 0, 184, 177, 5, 500, 6228, 5341, 165, 0, 114, 108, 6, 500, 6120, 5226, 158, 0, 93, 92, 7, 500, 6028, 5126, 150, 0, 57, 52, 8, 500, 5976, 5074, 150, 0, 49, 49, 9, 500, 5927, 5025, 150, 0, 35, 34, 10, 500, 5893, 4989, 148, 0, 25, 24, 11, 500, 5869, 4965, 148, 0, 16, 15, 12, 500, 5854, 4949, 147, 0, 11, 11, 13, 500, 5843, 4937, 146, 0, 9, 9, 14, 500, 5834, 4925, 143, 0, 5, 5, 15, 500, 5829, 4920, 143, 0, 2, 2, 16, 500, 5827, 4918, 143, 0, 2, 2, 17, 500, 5825, 4916, 143, 0, 1, 1, 18, 500, 5824, 4915, 143, 0, 0, 0]"
600,"[14, 0, 600, 12681, 12504, 654, 1, 2197, 2072, 1, 600, 10609, 10168, 389, 0, 727, 698, 2, 600, 9911, 9404, 323, 0, 347, 341, 3, 600, 9570, 9040, 300, 0, 199, 196, 4, 600, 9374, 8827, 283, 0, 114, 114, 5, 600, 9260, 8709, 279, 0, 80, 77, 6, 600, 9183, 8628, 275, 0, 46, 46, 7, 600, 9137, 8581, 274, 0, 30, 29, 8, 600, 9108, 8551, 273, 0, 12, 12, 9, 600, 9096, 8538, 272, 0, 7, 7, 10, 600, 9089, 8531, 272, 0, 3, 3, 11, 600, 9086, 8527, 271, 0, 2, 2, 12, 600, 9084, 8525, 271, 0, 1, 1, 13, 600, 9083, 8524, 271, 0, 1, 1, 14, 600, 9082, 8523, 271, 0, 0, 0]"
700,"[19, 0, 700, 15868, 15467, 719, 2, 2737, 2569, 1, 700, 13299, 12645, 465, 1, 961, 925, 2, 700, 12374, 11632, 377, 1, 502, 497, 3, 700, 11877, 11101, 343, 1, 285, 282, 4, 700, 11595, 10803, 327, 1, 177, 176, 5, 700, 11419, 10619, 319, 1, 120, 120, 6, 700, 11299, 10490, 310, 1, 84, 83, 7, 700, 11216, 10406, 309, 1, 62, 62, 8, 700, 11154, 10340, 305, 1, 50, 49, 9, 700, 11105, 10289, 303, 1, 34, 33, 10, 700, 11072, 10255, 302, 1, 24, 24, 11, 700, 11048, 10230, 301, 1, 14, 14, 12, 700, 11034, 10216, 301, 1, 18, 18, 13, 700, 11016, 10197, 300, 1, 16, 16, 14, 700, 11000, 10179, 298, 1, 10, 10, 15, 700, 10990, 10167, 296, 1, 5, 5, 16, 700, 10985, 10162, 296, 1, 3, 3, 17, 700, 10982, 10159, 296, 1, 2, 2, 18, 700, 10980, 10157, 296, 1, 1, 1, 19, 700, 10979, 10156, 296, 1, 0, 0]"
800,"[18, 0, 800, 19236, 18600, 836, 4, 3474, 3231, 1, 800, 16005, 15040, 504, 1, 1160, 1126, 2, 800, 14879, 13826, 416, 1, 562, 552, 3, 800, 14327, 13246, 388, 1, 350, 338, 4, 800, 13989, 12882, 362, 1, 190, 190, 5, 800, 13799, 12681, 351, 1, 121, 118, 6, 800, 13681, 12555, 343, 1, 83, 80, 7, 800, 13601, 12472, 340, 1, 57, 56, 8, 800, 13545, 12415, 339, 1, 42, 41, 9, 800, 13504, 12371, 336, 1, 27, 27, 10, 800, 13477, 12343, 335, 1, 15, 15, 11, 800, 13462, 12328, 335, 1, 9, 9, 12, 800, 13453, 12318, 334, 1, 3, 3, 13, 800, 13450, 12315, 334, 1, 3, 3, 14, 800, 13447, 12312, 334, 1, 2, 2, 15, 800, 13445, 12310, 334, 1, 2, 2, 16, 800, 13443, 12308, 334, 1, 1, 1, 17, 800, 13442, 12307, 334, 1, 2, 2, 18, 800, 13440, 12305, 334, 1, 0, 0]"
900,"[17, 0, 900, 22982, 22269, 882, 2, 3847, 3634, 1, 900, 19348, 18306, 552, 1, 1322, 1281, 2, 900, 18067, 16948, 475, 1, 671, 660, 3, 900, 17407, 16249, 436, 1, 375, 375, 4, 900, 17032, 15859, 421, 1, 242, 239, 5, 900, 16793, 15602, 403, 1, 156, 154, 6, 900, 16639, 15437, 392, 1, 100, 99, 7, 900, 16540, 15335, 389, 1, 71, 71, 8, 900, 16469, 15260, 385, 1, 41, 40, 9, 900, 16429, 15217, 382, 1, 25, 25, 10, 900, 16404, 15191, 381, 1, 21, 21, 11, 900, 16383, 15170, 381, 1, 10, 10, 12, 900, 16373, 15159, 380, 1, 7, 7, 13, 900, 16366, 15152, 380, 1, 4, 4, 14, 900, 16362, 15148, 380, 1, 2, 2, 15, 900, 16360, 15146, 380, 1, 1, 1, 16, 900, 16359, 15145, 380, 1, 1, 1, 17, 900, 16358, 15144, 380, 1, 0, 0]"
1000,"[15, 0, 1000, 27008, 26498, 1016, 1, 4537, 4277, 1, 1000, 22731, 21885, 680, 1, 1564, 1517, 2, 1000, 21214, 20266, 577, 0, 757, 743, 3, 1000, 20471, 19493, 547, 0, 413, 408, 4, 1000, 20063, 19072, 534, 0, 237, 234, 5, 1000, 19829, 18828, 524, 0, 137, 136, 6, 1000, 19693, 18687, 519, 0, 88, 85, 7, 1000, 19608, 18598, 515, 0, 61, 61, 8, 1000, 19547, 18534, 512, 0, 39, 39, 9, 1000, 19508, 18493, 510, 0, 27, 27, 10, 1000, 19481, 18466, 510, 0, 20, 20, 11, 1000, 19461, 18445, 509, 0, 15, 15, 12, 1000, 19446, 18427, 506, 0, 4, 4, 13, 1000, 19442, 18423, 506, 0, 4, 4, 14, 1000, 19438, 18419, 506, 0, 1, 1, 15, 1000, 19437, 18418, 506, 0, 0, 0]"
