n,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
100,"[6, 0, 100, 1002, 1305, 218, 6, 114, 108, 1, 100, 894, 1136, 154, 3, 22, 22, 2, 100, 872, 1107, 147, 3, 10, 9, 3, 100, 863, 1095, 144, 3, 6, 6, 4, 100, 857, 1087, 142, 3, 2, 2, 5, 100, 855, 1083, 140, 3, 1, 1, 6, 100, 854, 1082, 140, 3, 0, 0]"
200,"[6, 0, 200, 2810, 3648, 495, 4, 319, 310, 1, 200, 2500, 3191, 345, 1, 64, 64, 2, 200, 2436, 3100, 318, 1, 22, 20, 3, 200, 2416, 3073, 311, 1, 7, 7, 4, 200, 2409, 3066, 311, 1, 5, 5, 5, 200, 2404, 3060, 310, 1, 2, 2, 6, 200, 2402, 3058, 310, 1, 0, 0]"
300,"[4, 0, 300, 5170, 6921, 835, 9, 504, 488, 1, 300, 4682, 6260, 658, 5, 104, 101, 2, 300, 4581, 6114, 612, 4, 26, 26, 3, 300, 4555, 6081, 605, 4, 4, 4, 4, 300, 4551, 6072, 600, 4, 0, 0]"
400,"[6, 0, 400, 8040, 10752, 1033, 5, 735, 725, 1, 400, 7315, 9836, 842, 5, 153, 150, 2, 400, 7165, 9645, 801, 5, 36, 36, 3, 400, 7129, 9600, 792, 5, 10, 10, 4, 400, 7119, 9588, 790, 5, 2, 2, 5, 400, 7117, 9586, 790, 5, 1, 1, 6, 400, 7116, 9585, 790, 5, 0, 0]"
500,"[5, 0, 500, 11192, 14957, 1240, 4, 1025, 1002, 1, 500, 10190, 13752, 1035, 2, 207, 204, 2, 500, 9986, 13513, 1000, 2, 47, 47, 3, 500, 9939, 13456, 990, 2, 8, 8, 4, 500, 9931, 13448, 990, 2, 2, 2, 5, 500, 9929, 13446, 990, 2, 0, 0]"
600,"[6, 0, 600, 14630, 19283, 1526, 5, 1331, 1299, 1, 600, 13331, 17688, 1228, 3, 251, 250, 2, 600, 13081, 17379, 1169, 3, 56, 56, 3, 600, 13025, 17318, 1164, 3, 23, 23, 4, 600, 13002, 17291, 1160, 3, 3, 3, 5, 600, 12999, 17287, 1159, 3, 3, 3, 6, 600, 12996, 17281, 1156, 3, 0, 0]"
700,"[10, 0, 700, 18523, 24645, 1886, 5, 1637, 1596, 1, 700, 16927, 22709, 1544, 3, 305, 303, 2, 700, 16624, 22351, 1489, 3, 69, 69, 3, 700, 16555, 22277, 1484, 3, 24, 24, 4, 700, 16531, 22250, 1481, 3, 6, 6, 5, 700, 16525, 22244, 1481, 3, 3, 3, 6, 700, 16522, 22241, 1481, 3, 2, 2, 7, 700, 16520, 22239, 1481, 3, 2, 2, 8, 700, 16518, 22235, 1479, 3, 1, 1, 9, 700, 16517, 22234, 1479, 3, 1, 1, 10, 700, 16516, 22233, 1479, 3, 0, 0]"
800,"[6, 0, 800, 22439, 29160, 1890, 4, 2034, 1979, 1, 800, 20460, 26818, 1526, 3, 411, 409, 2, 800, 20051, 26363, 1480, 3, 124, 123, 3, 800, 19928, 26226, 1466, 3, 38, 38, 4, 800, 19890, 26183, 1461, 3, 9, 9, 5, 800, 19881, 26171, 1458, 3, 3, 3, 6, 800, 19878, 26168, 1458, 3, 0, 0]"
900,"[6, 0, 900, 27093, 36382, 2361, 11, 2252, 2197, 1, 900, 24896, 33830, 2002, 7, 415, 410, 2, 900, 24486, 33352, 1934, 7, 90, 90, 3, 900, 24396, 33249, 1921, 7, 27, 27, 4, 900, 24369, 33217, 1916, 7, 7, 7, 5, 900, 24362, 33209, 1915, 7, 1, 1, 6, 900, 24361, 33208, 1915, 7, 0, 0]"
1000,"[7, 0, 1000, 31493, 41561, 2503, 5, 2722, 2671, 1, 1000, 28822, 38473, 2086, 5, 476, 473, 2, 1000, 28349, 37922, 2008, 5, 124, 124, 3, 1000, 28225, 37786, 1996, 5, 28, 28, 4, 1000, 28197, 37756, 1994, 5, 8, 8, 5, 1000, 28189, 37748, 1994, 5, 2, 2, 6, 1000, 28187, 37746, 1994, 5, 1, 1, 7, 1000, 28186, 37745, 1994, 5, 0, 0]"
