c,"maxiter, (maxiter +1)* [itr, n, m, tri, tet, K5, D, E]"
1.0,"[4, 0, 1500, 29189, 9930, 65, 0, 10996, 7403, 1, 1500, 21786, 2465, 3, 0, 3577, 2096, 2, 1500, 19690, 366, 0, 0, 688, 349, 3, 1500, 19341, 17, 0, 0, 45, 17, 4, 1500, 19324, 0, 0, 0, 0, 0]"
1.01,"[5, 0, 1500, 29716, 10335, 64, 0, 11128, 7614, 1, 1500, 22102, 2661, 4, 0, 3755, 2242, 2, 1500, 19860, 415, 0, 0, 757, 387, 3, 1500, 19473, 28, 0, 0, 63, 27, 4, 1500, 19446, 1, 0, 0, 3, 1, 5, 1500, 19445, 0, 0, 0, 0, 0]"
1.02,"[5, 0, 1500, 29575, 10177, 74, 0, 10999, 7556, 1, 1500, 22019, 2552, 5, 0, 3611, 2155, 2, 1500, 19864, 392, 0, 0, 766, 378, 3, 1500, 19486, 14, 0, 0, 28, 13, 4, 1500, 19473, 1, 0, 0, 3, 1, 5, 1500, 19472, 0, 0, 0, 0, 0]"
1.03,"[5, 0, 1500, 30117, 10785, 78, 0, 11084, 7678, 1, 1500, 22439, 3033, 4, 0, 3941, 2470, 2, 1500, 19969, 559, 0, 0, 1023, 522, 3, 1500, 19447, 37, 0, 0, 93, 36, 4, 1500, 19411, 1, 0, 0, 3, 1, 5, 1500, 19410, 0, 0, 0, 0, 0]"
1.04,"[4, 0, 1500, 30305, 10891, 78, 0, 11242, 7853, 1, 1500, 22452, 2966, 6, 0, 3878, 2419, 2, 1500, 20033, 541, 0, 0, 993, 506, 3, 1500, 19527, 35, 0, 0, 79, 35, 4, 1500, 19492, 0, 0, 0, 0, 0]"
1.05,"[5, 0, 1500, 30509, 11456, 80, 0, 11180, 7944, 1, 1500, 22565, 3437, 5, 0, 4235, 2698, 2, 1500, 19867, 734, 0, 0, 1217, 657, 3, 1500, 19210, 77, 0, 0, 158, 68, 4, 1500, 19142, 9, 0, 0, 3, 1, 5, 1500, 19141, 8, 0, 0, 0, 0]"
1.06,"[4, 0, 1500, 30743, 11617, 96, 0, 11470, 8057, 1, 1500, 22686, 3469, 5, 0, 4285, 2719, 2, 1500, 19967, 745, 0, 0, 1209, 661, 3, 1500, 19306, 84, 0, 0, 183, 84, 4, 1500, 19222, 0, 0, 0, 0, 0]"
1.07,"[5, 0, 1500, 30889, 11541, 76, 0, 11534, 8119, 1, 1500, 22770, 3356, 10, 0, 4207, 2676, 2, 1500, 20094, 671, 1, 0, 1174, 619, 3, 1500, 19475, 51, 0, 0, 103, 50, 4, 1500, 19425, 1, 0, 0, 3, 1, 5, 1500, 19424, 0, 0, 0, 0, 0]"
1.08,"[5, 0, 1500, 31418, 12156, 107, 0, 11425, 8200, 1, 1500, 23218, 3858, 9, 0, 4501, 2951, 2, 1500, 20267, 899, 1, 0, 1410, 785, 3, 1500, 19482, 113, 0, 0, 229, 110, 4, 1500, 19372, 3, 0, 0, 9, 3, 5, 1500, 19369, 0, 0, 0, 0, 0]"
1.09,"[5, 0, 1500, 31768, 12478, 95, 0, 11725, 8461, 1, 1500, 23307, 3931, 9, 0, 4543, 2972, 2, 1500, 20335, 950, 0, 0, 1506, 846, 3, 1500, 19489, 104, 0, 0, 214, 101, 4, 1500, 19388, 3, 0, 0, 9, 3, 5, 1500, 19385, 0, 0, 0, 0, 0]"
1.1,"[6, 0, 1500, 31855, 12881, 121, 0, 11597, 8399, 1, 1500, 23456, 4373, 12, 0, 4776, 3219, 2, 1500, 20237, 1145, 3, 0, 1675, 980, 3, 1500, 19257, 162, 0, 0, 314, 155, 4, 1500, 19102, 7, 0, 0, 9, 6, 5, 1500, 19096, 1, 0, 0, 3, 1, 6, 1500, 19095, 0, 0, 0, 0, 0]"
1.11,"[5, 0, 1500, 32285, 13196, 111, 0, 11908, 8665, 1, 1500, 23620, 4427, 7, 0, 4880, 3270, 2, 1500, 20350, 1150, 0, 0, 1766, 1006, 3, 1500, 19344, 144, 0, 0, 309, 140, 4, 1500, 19204, 4, 0, 0, 8, 4, 5, 1500, 19200, 0, 0, 0, 0, 0]"
1.12,"[5, 0, 1500, 32279, 13157, 116, 0, 11713, 8570, 1, 1500, 23709, 4478, 7, 0, 4813, 3246, 2, 1500, 20463, 1226, 1, 0, 1776, 1036, 3, 1500, 19427, 189, 0, 0, 381, 178, 4, 1500, 19249, 11, 0, 0, 27, 11, 5, 1500, 19238, 0, 0, 0, 0, 0]"
1.1300000000000001,"[6, 0, 1500, 32788, 13938, 127, 0, 11865, 8804, 1, 1500, 23984, 5019, 12, 0, 5132, 3515, 2, 1500, 20469, 1494, 2, 0, 2045, 1239, 3, 1500, 19230, 253, 0, 0, 492, 239, 4, 1500, 18991, 14, 0, 0, 30, 13, 5, 1500, 18978, 1, 0, 0, 3, 1, 6, 1500, 18977, 0, 0, 0, 0, 0]"
1.1400000000000001,"[6, 0, 1500, 32923, 14069, 115, 0, 11926, 8852, 1, 1500, 24071, 5115, 13, 0, 5178, 3597, 2, 1500, 20474, 1507, 2, 0, 2059, 1242, 3, 1500, 19232, 263, 0, 0, 490, 242, 4, 1500, 18990, 21, 0, 0, 39, 20, 5, 1500, 18970, 1, 0, 0, 3, 1, 6, 1500, 18969, 0, 0, 0, 0, 0]"
1.1500000000000001,"[7, 0, 1500, 33641, 14809, 134, 0, 12031, 9043, 1, 1500, 24598, 5651, 19, 0, 5243, 3758, 2, 1500, 20840, 1878, 4, 0, 2294, 1445, 3, 1500, 19395, 429, 0, 0, 699, 365, 4, 1500, 19030, 64, 0, 0, 124, 56, 5, 1500, 18974, 8, 0, 0, 12, 7, 6, 1500, 18967, 1, 0, 0, 3, 1, 7, 1500, 18966, 0, 0, 0, 0, 0]"
1.1600000000000001,"[5, 0, 1500, 33729, 15228, 160, 0, 12020, 9121, 1, 1500, 24608, 5972, 25, 0, 5474, 3942, 2, 1500, 20666, 2006, 1, 0, 2465, 1568, 3, 1500, 19098, 437, 0, 0, 727, 396, 4, 1500, 18702, 41, 0, 0, 87, 41, 5, 1500, 18661, 0, 0, 0, 0, 0]"
1.1700000000000002,"[6, 0, 1500, 34120, 15832, 171, 0, 12149, 9309, 1, 1500, 24811, 6382, 30, 0, 5597, 4095, 2, 1500, 20716, 2260, 3, 0, 2710, 1731, 3, 1500, 18985, 526, 0, 0, 900, 474, 4, 1500, 18511, 52, 0, 0, 90, 49, 5, 1500, 18462, 3, 0, 0, 9, 3, 6, 1500, 18459, 0, 0, 0, 0, 0]"
1.1800000000000002,"[6, 0, 1500, 34318, 15749, 154, 0, 12150, 9239, 1, 1500, 25079, 6381, 25, 0, 5494, 4008, 2, 1500, 21071, 2352, 4, 0, 2696, 1760, 3, 1500, 19311, 589, 1, 0, 879, 511, 4, 1500, 18800, 77, 0, 0, 161, 74, 5, 1500, 18726, 3, 0, 0, 7, 3, 6, 1500, 18723, 0, 0, 0, 0, 0]"
1.1900000000000002,"[6, 0, 1500, 34585, 16548, 198, 0, 11999, 9291, 1, 1500, 25294, 7096, 37, 0, 5635, 4236, 2, 1500, 21058, 2828, 5, 0, 2993, 1992, 3, 1500, 19066, 832, 1, 0, 1199, 690, 4, 1500, 18376, 141, 0, 0, 269, 133, 5, 1500, 18243, 8, 0, 0, 24, 8, 6, 1500, 18235, 0, 0, 0, 0, 0]"
1.2000000000000002,"[6, 0, 1500, 34729, 16609, 169, 0, 12167, 9447, 1, 1500, 25282, 7017, 24, 0, 5768, 4298, 2, 1500, 20984, 2699, 4, 0, 2945, 1950, 3, 1500, 19034, 745, 0, 0, 1084, 619, 4, 1500, 18415, 126, 0, 0, 195, 90, 5, 1500, 18325, 36, 0, 0, 23, 12, 6, 1500, 18313, 24, 0, 0, 0, 0]"
